datetime,aqi,pm10,pm25,o3,so2,no2,co,ts,time,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
2020-05-25/18:00,41.0,9.61666,3.50039,88.9778,3.78117,13.9318,346.303,1590429600,2020-05-31/12:30,0.0,0.0,45.16,45.16,-5.5,0.04,1003.0,10.19,10.65,305.0,0.48,3.0,16.093,273.9
2020-05-25/17:00,44.0,7.62381,2.7067,94.8787,3.5502,11.2693,339.21,1590426000,2020-05-31/13:30,0.0,0.0,44.6,44.6,-4.69,0.05,1003.0,9.95,12.34,306.0,0.48,2.0,16.093,274.6
2020-05-25/16:00,47.8,4.80681,1.74357,103.855,2.78279,7.09016,331.449,1590422400,2020-05-31/14:30,0.0,0.0,43.57,43.57,-3.98,0.05,1003.2,9.27,13.84,310.0,0.47,0.0,16.093,275.4
2020-05-25/15:00,52.0,1.77206,0.769655,112.295,1.97813,2.2304,316.679,1590418800,2020-05-31/15:30,0.0,0.0,42.26,42.26,-3.44,0.06,1003.7,8.21,13.64,315.0,0.43,0.0,16.093,276.7
2020-05-25/14:00,52.0,1.77648,0.845778,112.474,1.86078,1.71899,316.679,1590415200,2020-05-31/16:30,0.0,0.0,40.71,40.71,-3.05,0.06,1004.3,6.8,11.79,322.0,0.36,0.0,16.093,278.5
2020-05-25/13:00,51.0,1.94095,0.980054,110.686,1.85706,1.54227,314.176,1590411600,2020-05-31/17:30,0.0,0.0,39.0,39.0,-3.05,0.07,1004.8,5.39,9.46,331.0,0.27,0.0,16.093,280.1
2020-05-25/12:00,50.0,2.53738,1.26342,108.54,2.20165,1.8127,316.679,1590408000,2020-05-31/18:30,0.0,0.0,37.41,37.41,-3.53,0.07,1005.4,4.37,7.57,340.0,0.18,0.0,16.093,280.9
2020-05-25/11:00,49.0,2.70684,1.33097,106.394,2.27615,1.98139,318.348,1590404400,2020-05-31/19:30,0.0,0.0,35.95,35.95,-4.64,0.07,1005.5,3.67,6.05,350.0,0.09,0.0,16.093,281.1
2020-05-25/10:00,48.0,2.9436,1.42046,104.427,2.42889,2.47138,322.938,1590400800,2020-05-31/20:30,0.0,0.0,34.51,34.51,-6.01,0.07,1005.3,3.13,4.74,2.0,0.01,0.0,16.093,281.0
2020-05-25/09:00,47.0,3.41229,1.67089,101.03,2.63751,3.22377,324.19,1590397200,2020-05-31/21:30,0.0087,0.01,33.07,33.07,-6.98,0.07,1005.3,2.68,3.86,12.0,0.02,0.0,16.093,281.0
2020-05-25/08:00,45.0,3.68825,1.83057,98.1689,2.84985,4.12343,325.024,1590393600,2020-05-31/22:30,0.0074,0.01,31.67,31.67,-7.33,0.08,1005.0,2.35,3.43,18.0,0.11,0.0,16.093,281.1
2020-05-25/07:00,44.0,4.31726,2.19556,95.129,3.17022,5.02844,326.693,1590390000,2020-05-31/23:30,0.0,0.0,30.67,30.67,-7.34,0.08,1004.6,2.12,3.2,22.0,0.2,0.0,16.093,281.2
2020-05-25/06:00,34.0,11.335,5.75748,74.5654,4.13507,10.5067,344.217,1590386400,2020-06-01/00:30,0.0,0.0,30.05,30.05,-7.5,0.08,1004.6,1.96,2.97,28.0,0.2,0.0,16.093,281.6
2020-05-25/05:00,34.0,10.2253,5.63531,74.029,2.70829,9.21078,342.548,1590382800,2020-06-01/01:30,0.0,0.0,29.55,29.55,-7.91,0.08,1005.0,1.9,2.75,36.0,0.12,0.0,16.093,282.4
2020-05-25/04:00,35.0,9.55939,5.54182,75.8171,1.98558,8.33254,344.217,1590379200,2020-06-01/02:30,0.0,0.0,29.84,29.84,-7.87,0.08,1005.4,1.9,2.63,40.0,0.03,0.0,16.093,283.1
2020-05-25/03:00,36.0,9.32438,5.48655,77.2476,2.06009,7.95769,346.72,1590375600,2020-06-01/03:30,0.0,0.0,31.92,31.92,-6.91,0.08,1005.6,1.87,2.57,31.0,0.0,1.0,16.093,283.6
2020-05-25/02:00,36.0,9.456,5.61404,78.0523,2.42889,7.39004,350.893,1590372000,2020-06-01/04:30,0.0,0.0,35.75,35.75,-5.03,0.07,1005.5,1.79,2.54,8.0,0.0,3.0,16.093,283.7
2020-05-25/01:00,36.0,10.0252,5.95221,77.8735,2.90573,8.30041,352.144,1590368400,2020-06-01/05:30,0.0,0.0,39.82,39.82,-3.03,0.07,1005.2,1.93,2.76,342.0,0.0,6.0,16.093,283.8
